dataset,query_index,counterfactual_id,desired_class,threshold,original_probability_good,counterfactual_probability_good,model_valid,valid,actionability_issues,changed_feature_count,top_changes,customer_recommendations,cf_checking_account_status,cf_duration,cf_credit_history,cf_purpose,cf_credit_amount,cf_savings_account_bonds,cf_present_employment_since,cf_installment_rate,cf_personal_status_sex,cf_other_debtors,cf_present_residence_since,cf_property,cf_age,cf_other_installment_plans,cf_housing,cf_existing_credits,cf_job,cf_people_liable,cf_telephone,cf_foreign_worker
german,701,1,good,0.38999999999999996,0.38993290066719055,0.6446437239646912,True,True,[],3,"[{""feature"": ""credit_amount"", ""from"": 6331.0, ""to"": 250.0, ""delta"": -6081.0}, {""feature"": ""duration"", ""from"": 48.0, ""to"": 4.0, ""delta"": -44.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 6331.0 to about 250.0."", ""Repayment duration could be shortened from 48.0 months to about 4.0 months."", ""Adding support such as guarantor could make the application more acceptable.""]",a11,4,a34,a41,250,a61,a75,4,a93,a103,4,a124,46,a143,a153,2,a173,1,a192,a201
german,701,2,good,0.38999999999999996,0.38993290066719055,0.6446437239646912,True,True,[],3,"[{""feature"": ""credit_amount"", ""from"": 6331.0, ""to"": 250.0, ""delta"": -6081.0}, {""feature"": ""duration"", ""from"": 48.0, ""to"": 4.0, ""delta"": -44.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 6331.0 to about 250.0."", ""Repayment duration could be shortened from 48.0 months to about 4.0 months."", ""Adding support such as guarantor could make the application more acceptable.""]",a11,4,a34,a41,250,a61,a75,4,a93,a103,4,a124,46,a143,a153,2,a173,1,a192,a201
german,701,3,good,0.38999999999999996,0.38993290066719055,0.6446437239646912,True,True,[],3,"[{""feature"": ""credit_amount"", ""from"": 6331.0, ""to"": 250.0, ""delta"": -6081.0}, {""feature"": ""duration"", ""from"": 48.0, ""to"": 4.0, ""delta"": -44.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 6331.0 to about 250.0."", ""Repayment duration could be shortened from 48.0 months to about 4.0 months."", ""Adding support such as guarantor could make the application more acceptable.""]",a11,4,a34,a41,250,a61,a75,4,a93,a103,4,a124,46,a143,a153,2,a173,1,a192,a201
german,701,4,good,0.38999999999999996,0.38993290066719055,0.6446437239646912,True,True,[],3,"[{""feature"": ""credit_amount"", ""from"": 6331.0, ""to"": 250.0, ""delta"": -6081.0}, {""feature"": ""duration"", ""from"": 48.0, ""to"": 4.0, ""delta"": -44.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 6331.0 to about 250.0."", ""Repayment duration could be shortened from 48.0 months to about 4.0 months."", ""Adding support such as guarantor could make the application more acceptable.""]",a11,4,a34,a41,250,a61,a75,4,a93,a103,4,a124,46,a143,a153,2,a173,1,a192,a201
german,482,3,good,0.38999999999999996,0.3895459771156311,0.47108063101768494,True,True,[],3,"[{""feature"": ""credit_amount"", ""from"": 3622.0, ""to"": 250.0, ""delta"": -3372.0}, {""feature"": ""duration"", ""from"": 30.0, ""to"": 4.0, ""delta"": -26.0}, {""feature"": ""installment_rate"", ""from"": 4.0, ""to"": 1.0, ""delta"": -3.0}]","[""Requested loan amount could be reduced from 3622.0 to about 250.0."", ""Repayment duration could be shortened from 30.0 months to about 4.0 months."", ""Installment burden could be lowered from 4.0 to about 1.0, for example with more income, a lower amount, or a down payment.""]",a11,4,a32,a42,250,a64,a75,1,a92,a101,4,a122,57,a143,a151,2,a173,1,a192,a201
german,482,1,good,0.38999999999999996,0.3895459771156311,0.5698328614234924,True,True,[],4,"[{""feature"": ""credit_amount"", ""from"": 3622.0, ""to"": 250.0, ""delta"": -3372.0}, {""feature"": ""duration"", ""from"": 30.0, ""to"": 4.0, ""delta"": -26.0}, {""feature"": ""installment_rate"", ""from"": 4.0, ""to"": 1.0, ""delta"": -3.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 3622.0 to about 250.0."", ""Repayment duration could be shortened from 30.0 months to about 4.0 months."", ""Installment burden could be lowered from 4.0 to about 1.0, for example with more income, a lower amount, or a down payment."", ""Adding support such as guarantor could make the application more acceptable.""]",a11,4,a32,a42,250,a64,a75,1,a92,a103,4,a122,57,a143,a151,2,a173,1,a192,a201
german,482,2,good,0.38999999999999996,0.3895459771156311,0.5698328614234924,True,True,[],4,"[{""feature"": ""credit_amount"", ""from"": 3622.0, ""to"": 250.0, ""delta"": -3372.0}, {""feature"": ""duration"", ""from"": 30.0, ""to"": 4.0, ""delta"": -26.0}, {""feature"": ""installment_rate"", ""from"": 4.0, ""to"": 1.0, ""delta"": -3.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 3622.0 to about 250.0."", ""Repayment duration could be shortened from 30.0 months to about 4.0 months."", ""Installment burden could be lowered from 4.0 to about 1.0, for example with more income, a lower amount, or a down payment."", ""Adding support such as guarantor could make the application more acceptable.""]",a11,4,a32,a42,250,a64,a75,1,a92,a103,4,a122,57,a143,a151,2,a173,1,a192,a201
german,482,4,good,0.38999999999999996,0.3895459771156311,0.5698328614234924,True,True,[],4,"[{""feature"": ""credit_amount"", ""from"": 3622.0, ""to"": 250.0, ""delta"": -3372.0}, {""feature"": ""duration"", ""from"": 30.0, ""to"": 4.0, ""delta"": -26.0}, {""feature"": ""installment_rate"", ""from"": 4.0, ""to"": 1.0, ""delta"": -3.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 3622.0 to about 250.0."", ""Repayment duration could be shortened from 30.0 months to about 4.0 months."", ""Installment burden could be lowered from 4.0 to about 1.0, for example with more income, a lower amount, or a down payment."", ""Adding support such as guarantor could make the application more acceptable.""]",a11,4,a32,a42,250,a64,a75,1,a92,a103,4,a122,57,a143,a151,2,a173,1,a192,a201
german,730,1,good,0.38999999999999996,0.3894649147987366,0.590697705745697,True,True,[],3,"[{""feature"": ""credit_amount"", ""from"": 6403.0, ""to"": 250.0, ""delta"": -6153.0}, {""feature"": ""duration"", ""from"": 24.0, ""to"": 4.0, ""delta"": -20.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 6403.0 to about 250.0."", ""Repayment duration could be shortened from 24.0 months to about 4.0 months."", ""Adding support such as guarantor could make the application more acceptable.""]",a12,4,a33,a43,250,a61,a72,1,a93,a103,2,a123,33,a143,a152,1,a173,1,a191,a201
german,730,2,good,0.38999999999999996,0.3894649147987366,0.590697705745697,True,True,[],3,"[{""feature"": ""credit_amount"", ""from"": 6403.0, ""to"": 250.0, ""delta"": -6153.0}, {""feature"": ""duration"", ""from"": 24.0, ""to"": 4.0, ""delta"": -20.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 6403.0 to about 250.0."", ""Repayment duration could be shortened from 24.0 months to about 4.0 months."", ""Adding support such as guarantor could make the application more acceptable.""]",a12,4,a33,a43,250,a61,a72,1,a93,a103,2,a123,33,a143,a152,1,a173,1,a191,a201
german,730,3,good,0.38999999999999996,0.3894649147987366,0.590697705745697,True,True,[],3,"[{""feature"": ""credit_amount"", ""from"": 6403.0, ""to"": 250.0, ""delta"": -6153.0}, {""feature"": ""duration"", ""from"": 24.0, ""to"": 4.0, ""delta"": -20.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Requested loan amount could be reduced from 6403.0 to about 250.0."", ""Repayment duration could be shortened from 24.0 months to about 4.0 months."", ""Adding support such as guarantor could make the application more acceptable.""]",a12,4,a33,a43,250,a61,a72,1,a93,a103,2,a123,33,a143,a152,1,a173,1,a191,a201
