dataset,query_index,counterfactual_id,desired_class,threshold,original_probability_good,counterfactual_probability_good,model_valid,valid,actionability_issues,changed_feature_count,top_changes,customer_recommendations,cf_external_risk_estimate,cf_msince_oldest_trade_open,cf_msince_most_recent_trade_open,cf_average_min_file,cf_num_satisfactory_trades,cf_num_trades60_ever2_derog_pub_rec,cf_num_trades90_ever2_derog_pub_rec,cf_percent_trades_never_delq,cf_msince_most_recent_delq,cf_max_delq2_public_rec_last12_m,cf_max_delq_ever,cf_num_total_trades,cf_num_trades_openin_last12_m,cf_percent_install_trades,cf_msince_most_recent_inqexcl7days,cf_num_inq_last6_m,cf_num_inq_last6_mexcl7days,cf_net_fraction_revolving_burden,cf_net_fraction_install_burden,cf_num_revolving_trades_wbalance,cf_num_install_trades_wbalance,cf_num_bank2_natl_trades_whigh_utilization,cf_percent_trades_wbalance,cf_external_risk_estimate_special_missing,cf_msince_oldest_trade_open_special_missing,cf_msince_most_recent_trade_open_special_missing,cf_average_min_file_special_missing,cf_num_satisfactory_trades_special_missing,cf_num_trades60_ever2_derog_pub_rec_special_missing,cf_num_trades90_ever2_derog_pub_rec_special_missing,cf_percent_trades_never_delq_special_missing,cf_msince_most_recent_delq_special_missing,cf_max_delq2_public_rec_last12_m_special_missing,cf_max_delq_ever_special_missing,cf_num_total_trades_special_missing,cf_num_trades_openin_last12_m_special_missing,cf_percent_install_trades_special_missing,cf_msince_most_recent_inqexcl7days_special_missing,cf_num_inq_last6_m_special_missing,cf_num_inq_last6_mexcl7days_special_missing,cf_net_fraction_revolving_burden_special_missing,cf_net_fraction_install_burden_special_missing,cf_num_revolving_trades_wbalance_special_missing,cf_num_install_trades_wbalance_special_missing,cf_num_bank2_natl_trades_whigh_utilization_special_missing,cf_percent_trades_wbalance_special_missing
heloc,3214,1,good,0.5,0.49986591935157776,0.5777010321617126,True,True,[],4,"[{""feature"": ""net_fraction_revolving_burden"", ""from"": 9.0, ""to"": 0.0, ""delta"": -9.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_inq_last6_m"", ""from"": 2.0, ""to"": 0.0, ""delta"": -2.0}, {""feature"": ""num_inq_last6_mexcl7days"", ""from"": 2.0, ""to"": 0.0, ""delta"": -2.0}]","[""Revolving credit utilization could be reduced from 9.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 3.0 to about 0.0."", ""Recent credit inquiries could be reduced from 2.0 to about 0.0 by avoiding new applications.""]",76.0,186.0,2.0,17.0,7.0,0.0,0.0,100.0,15.0,7.0,8.0,0.0,1.0,33.0,2.0,0.0,0.0,0.0,73.0,0.0,2.0,0.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heloc,3214,2,good,0.5,0.49986591935157776,0.5777010321617126,True,True,[],4,"[{""feature"": ""net_fraction_revolving_burden"", ""from"": 9.0, ""to"": 0.0, ""delta"": -9.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_inq_last6_m"", ""from"": 2.0, ""to"": 0.0, ""delta"": -2.0}, {""feature"": ""num_inq_last6_mexcl7days"", ""from"": 2.0, ""to"": 0.0, ""delta"": -2.0}]","[""Revolving credit utilization could be reduced from 9.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 3.0 to about 0.0."", ""Recent credit inquiries could be reduced from 2.0 to about 0.0 by avoiding new applications.""]",76.0,186.0,2.0,17.0,7.0,0.0,0.0,100.0,15.0,7.0,8.0,0.0,1.0,33.0,2.0,0.0,0.0,0.0,73.0,0.0,2.0,0.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heloc,3214,3,good,0.5,0.49986591935157776,0.5777010321617126,True,True,[],4,"[{""feature"": ""net_fraction_revolving_burden"", ""from"": 9.0, ""to"": 0.0, ""delta"": -9.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_inq_last6_m"", ""from"": 2.0, ""to"": 0.0, ""delta"": -2.0}, {""feature"": ""num_inq_last6_mexcl7days"", ""from"": 2.0, ""to"": 0.0, ""delta"": -2.0}]","[""Revolving credit utilization could be reduced from 9.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 3.0 to about 0.0."", ""Recent credit inquiries could be reduced from 2.0 to about 0.0 by avoiding new applications.""]",76.0,186.0,2.0,17.0,7.0,0.0,0.0,100.0,15.0,7.0,8.0,0.0,1.0,33.0,2.0,0.0,0.0,0.0,73.0,0.0,2.0,0.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heloc,3214,4,good,0.5,0.49986591935157776,0.5777010321617126,True,True,[],4,"[{""feature"": ""net_fraction_revolving_burden"", ""from"": 9.0, ""to"": 0.0, ""delta"": -9.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_inq_last6_m"", ""from"": 2.0, ""to"": 0.0, ""delta"": -2.0}, {""feature"": ""num_inq_last6_mexcl7days"", ""from"": 2.0, ""to"": 0.0, ""delta"": -2.0}]","[""Revolving credit utilization could be reduced from 9.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 3.0 to about 0.0."", ""Recent credit inquiries could be reduced from 2.0 to about 0.0 by avoiding new applications.""]",76.0,186.0,2.0,17.0,7.0,0.0,0.0,100.0,15.0,7.0,8.0,0.0,1.0,33.0,2.0,0.0,0.0,0.0,73.0,0.0,2.0,0.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heloc,3641,1,good,0.5,0.4998653829097748,0.5960979461669922,True,True,[],5,"[{""feature"": ""net_fraction_install_burden"", ""from"": 74.0, ""to"": 0.0, ""delta"": -74.0}, {""feature"": ""net_fraction_revolving_burden"", ""from"": 4.0, ""to"": 0.0, ""delta"": -4.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_inq_last6_m"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}, {""feature"": ""num_inq_last6_mexcl7days"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}]","[""Installment debt burden could be reduced from 74.0% to about 0.0%."", ""Revolving credit utilization could be reduced from 4.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 3.0 to about 0.0."", ""Recent credit inquiries could be reduced from 1.0 to about 0.0 by avoiding new applications.""]",70.0,140.0,7.0,33.0,5.0,1.0,1.0,100.0,15.0,6.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
heloc,3641,2,good,0.5,0.4998653829097748,0.5960979461669922,True,True,[],5,"[{""feature"": ""net_fraction_install_burden"", ""from"": 74.0, ""to"": 0.0, ""delta"": -74.0}, {""feature"": ""net_fraction_revolving_burden"", ""from"": 4.0, ""to"": 0.0, ""delta"": -4.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_inq_last6_m"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}, {""feature"": ""num_inq_last6_mexcl7days"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}]","[""Installment debt burden could be reduced from 74.0% to about 0.0%."", ""Revolving credit utilization could be reduced from 4.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 3.0 to about 0.0."", ""Recent credit inquiries could be reduced from 1.0 to about 0.0 by avoiding new applications.""]",70.0,140.0,7.0,33.0,5.0,1.0,1.0,100.0,15.0,6.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
heloc,3641,3,good,0.5,0.4998653829097748,0.5960979461669922,True,True,[],5,"[{""feature"": ""net_fraction_install_burden"", ""from"": 74.0, ""to"": 0.0, ""delta"": -74.0}, {""feature"": ""net_fraction_revolving_burden"", ""from"": 4.0, ""to"": 0.0, ""delta"": -4.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_inq_last6_m"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}, {""feature"": ""num_inq_last6_mexcl7days"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}]","[""Installment debt burden could be reduced from 74.0% to about 0.0%."", ""Revolving credit utilization could be reduced from 4.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 3.0 to about 0.0."", ""Recent credit inquiries could be reduced from 1.0 to about 0.0 by avoiding new applications.""]",70.0,140.0,7.0,33.0,5.0,1.0,1.0,100.0,15.0,6.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
heloc,3641,4,good,0.5,0.4998653829097748,0.5960979461669922,True,True,[],5,"[{""feature"": ""net_fraction_install_burden"", ""from"": 74.0, ""to"": 0.0, ""delta"": -74.0}, {""feature"": ""net_fraction_revolving_burden"", ""from"": 4.0, ""to"": 0.0, ""delta"": -4.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_inq_last6_m"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}, {""feature"": ""num_inq_last6_mexcl7days"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}]","[""Installment debt burden could be reduced from 74.0% to about 0.0%."", ""Revolving credit utilization could be reduced from 4.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 3.0 to about 0.0."", ""Recent credit inquiries could be reduced from 1.0 to about 0.0 by avoiding new applications.""]",70.0,140.0,7.0,33.0,5.0,1.0,1.0,100.0,15.0,6.0,8.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
heloc,8010,1,good,0.5,0.4997727572917938,0.7756971120834351,True,True,[],5,"[{""feature"": ""net_fraction_install_burden"", ""from"": 39.0, ""to"": 0.0, ""delta"": -39.0}, {""feature"": ""net_fraction_revolving_burden"", ""from"": 12.0, ""to"": 0.0, ""delta"": -12.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 11.0, ""to"": 0.0, ""delta"": -11.0}, {""feature"": ""num_inq_last6_m"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_bank2_natl_trades_whigh_utilization"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}]","[""Installment debt burden could be reduced from 39.0% to about 0.0%."", ""Revolving credit utilization could be reduced from 12.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 11.0 to about 0.0."", ""Recent credit inquiries could be reduced from 3.0 to about 0.0 by avoiding new applications."", ""High-utilization bankcard accounts could be reduced from 1.0 to about 0.0.""]",70.0,186.0,2.0,57.0,42.0,1.0,0.0,91.0,13.0,6.0,5.0,46.0,6.0,20.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heloc,8010,2,good,0.5,0.4997727572917938,0.7756971120834351,True,True,[],5,"[{""feature"": ""net_fraction_install_burden"", ""from"": 39.0, ""to"": 0.0, ""delta"": -39.0}, {""feature"": ""net_fraction_revolving_burden"", ""from"": 12.0, ""to"": 0.0, ""delta"": -12.0}, {""feature"": ""num_revolving_trades_wbalance"", ""from"": 11.0, ""to"": 0.0, ""delta"": -11.0}, {""feature"": ""num_inq_last6_m"", ""from"": 3.0, ""to"": 0.0, ""delta"": -3.0}, {""feature"": ""num_bank2_natl_trades_whigh_utilization"", ""from"": 1.0, ""to"": 0.0, ""delta"": -1.0}]","[""Installment debt burden could be reduced from 39.0% to about 0.0%."", ""Revolving credit utilization could be reduced from 12.0% to about 0.0%."", ""Revolving accounts with balances could be reduced from 11.0 to about 0.0."", ""Recent credit inquiries could be reduced from 3.0 to about 0.0 by avoiding new applications."", ""High-utilization bankcard accounts could be reduced from 1.0 to about 0.0.""]",70.0,186.0,2.0,57.0,42.0,1.0,0.0,91.0,13.0,6.0,5.0,46.0,6.0,20.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
